M=[[0, 4644, 3046, 3158, 512, 3669, 4051, 2897, 2475, 1488, 700, 3680, 2793, 1940, 3681, 1483, 3407, 419, 872, 2420, 4422, 3507, 2688, 394, 3054, 2602, 3123, 3832, 1857, 271, 1686, 4075, 300, 3386, 3564, 3403, 3786, 1634, 1852, 3402, 3369, 2538, 5076, 2113, 1961, 1746, 571, 1596, 3321, 1884, 1179, 3588, 2229, 3025, 2220, 4292, 3834, 3653, 3295, 3650, 1958, 2701, 2978, 3028, 1165, 3474, 3749, 3537, 3633, 1359, 3347, 2526, 3267, 517, 3441, 1671, 1808, 2290, 1104, 2776, 3645, 2678, 2040, 3583, 3159, 3259, 3146, 2111, 3453, 2227, 2403, 3190, 1969, 2332],
[4644, 0, 5230, 6920, 4996, 6764, 615, 3148, 3278, 3318, 4011, 6531, 5936, 5633, 7306, 3797, 7027, 5028, 4202, 5710, 6599, 6353, 5924, 4725, 3076, 5627, 5918, 7298, 3742, 4393, 5475, 2829, 4688, 6484, 1489, 7286, 7316, 3018, 3367, 6220, 4897, 4664, 609, 2916, 5373, 3563, 4876, 4166, 2287, 2867, 5243, 6524, 6109, 6294, 5508, 1683, 6149, 7048, 6270, 5891, 4425, 6159, 6188, 6440, 3704, 2701, 6411, 1108, 7220, 4678, 1447, 5293, 6431, 4671, 6362, 5310, 2871, 5840, 4088, 6093, 6023, 1968, 2618, 7359, 3703, 6772, 5789, 4409, 6592, 4932, 2344, 5957, 5494, 3012],
[3046, 5230, 0, 2075, 2707, 1568, 4676, 5358, 4997, 3787, 3346, 1305, 1002, 1552, 2264, 4214, 2041, 2921, 3768, 1096, 1561, 1136, 1080, 2664, 5477, 818, 753, 2173, 4587, 2943, 1693, 6301, 3345, 1328, 5046, 2441, 2219, 3444, 4359, 1010, 592, 660, 5301, 4327, 1288, 2088, 2538, 1666, 5321, 3863, 2091, 1312, 1814, 1287, 1109, 5920, 991, 1926, 1103, 735, 1213, 1374, 1181, 1481, 3737, 5700, 1183, 4423, 2171, 1688, 4674, 607, 1316, 2530, 1162, 1570, 3141, 1387, 3960, 1219, 826, 3817, 3668, 2407, 5836, 1777, 593, 1106, 1434, 818, 4102, 771, 1380, 4682],
[3158, 6920, 2075, 0, 2648, 966, 6317, 6034, 5616, 4502, 3783, 1242, 1092, 1353, 525, 4638, 290, 2797, 4029, 1219, 2143, 1233, 1054, 2812, 6186, 1368, 1359, 720, 5014, 3242, 1576, 7181, 3380, 925, 6330, 379, 650, 4395, 4971, 1270, 2654, 2387, 7117, 5142, 1560, 3376, 2612, 2772, 6326, 4779, 2013, 1132, 941, 793, 1412, 7171, 1844, 642, 1091, 1908, 2498, 778, 895, 595, 4266, 6566, 1464, 5940, 492, 2325, 6010, 1714, 854, 2759, 1143, 1693, 4282, 1086, 4262, 887, 1762, 5161, 4751, 454, 6316, 373, 1531, 2529, 874, 2015, 5199, 1372, 1451, 5423],
[512, 4996, 2707, 2648, 0, 3189, 4390, 3408, 2986, 1962, 1185, 3220, 2339, 1463, 3171, 1996, 2900, 215, 1382, 1969, 4000, 3054, 2229, 272, 3564, 2176, 2694, 3327, 2368, 658, 1212, 4582, 746, 2913, 4002, 2891, 3278, 2032, 2358, 2956, 3096, 2273, 5389, 2599, 1529, 1796, 198, 1472, 3808, 2329, 701, 3123, 1723, 2548, 1785, 4759, 3423, 3153, 2837, 3257, 1740, 2217, 2508, 2539, 1663, 3978, 3305, 3895, 3125, 1075, 3760, 2147, 2792, 361, 2983, 1227, 2125, 1813, 1614, 2303, 3236, 3033, 2438, 3071, 3668, 2759, 2734, 1895, 2975, 1899, 2832, 2760, 1517, 2833],
[3669, 6764, 1568, 966, 3189, 0, 6192, 6416, 6013, 4829, 4199, 331, 936, 1730, 820, 5091, 739, 3375, 4525, 1289, 1179, 440, 1013, 3285, 6557, 1223, 846, 644, 5477, 3685, 1983, 7490, 3933, 306, 6422, 1185, 717, 4612, 5356, 559, 2054, 2101, 6863, 5443, 1759, 3389, 3098, 2829, 6562, 5024, 2492, 266, 1538, 645, 1514, 7292, 965, 438, 496, 1112, 2440, 972, 706, 666, 4664, 6872, 558, 5891, 737, 2539, 6069, 1508, 408, 3195, 407, 2015, 4405, 1379, 4750, 898, 949, 5201, 4916, 1041, 6785, 608, 982, 2409, 218, 1904, 5368, 809, 1716, 5763],
[4051, 615, 4676, 6317, 4390, 6192, 0, 2830, 2890, 2770, 3434, 5970, 5347, 5022, 6712, 3291, 6432, 4429, 3652, 5112, 6089, 5788, 5331, 4119, 2787, 5038, 5347, 6712, 3280, 3796, 4862, 2758, 4108, 5907, 1211, 6681, 6727, 2435, 2884, 5654, 4377, 4091, 1052, 2432, 4766, 2953, 4267, 3557, 2027, 2321, 4628, 5957, 5498, 5706, 4907, 1724, 5616, 6463, 5696, 5355, 3827, 5560, 5601, 5847, 3154, 2496, 5859, 539, 6628, 4065, 1024, 4709, 5850, 4062, 5793, 4698, 2265, 5235, 3554, 5500, 5481, 1375, 2043, 6759, 3431, 6178, 5224, 3818, 6015, 4341, 1817, 5388, 4886, 2582],
[2897, 3148, 5358, 6034, 3408, 6416, 2830, 0, 422, 1594, 2252, 6350, 5486, 4738, 6550, 1422, 6268, 3294, 2049, 5127, 6909, 6161, 5403, 3223, 162, 5227, 5719, 6678, 1086, 2792, 4490, 1200, 2726, 6114, 1660, 6296, 6642, 1924, 1066, 6036, 5406, 4707, 3753, 1038, 4658, 3299, 3424, 3703, 878, 1514, 4022, 6280, 5094, 5780, 4902, 1854, 6317, 6477, 5975, 6080, 4152, 5489, 5711, 5825, 1770, 671, 6358, 2384, 6495, 3882, 1815, 5027, 6008, 3277, 6115, 4419, 2289, 5074, 1822, 5526, 6132, 2087, 1799, 6470, 636, 6093, 5683, 4252, 6199, 4638, 1486, 5782, 4712, 676],
[2475, 3278, 4997, 5616, 2986, 6013, 2890, 422, 0, 1212, 1836, 5956, 5086, 4326, 6133, 1001, 5852, 2872, 1628, 4725, 6539, 5768, 5001, 2804, 581, 4833, 5331, 6264, 677, 2374, 4077, 1617, 2304, 5713, 1799, 5875, 6227, 1597, 658, 5645, 5075, 4352, 3871, 741, 4255, 2964, 3005, 3334, 1119, 1211, 3605, 5883, 4677, 5375, 4501, 2155, 5944, 6066, 5579, 5712, 3786, 5080, 5308, 5416, 1356, 1055, 5971, 2400, 6079, 3485, 1868, 4644, 5605, 2861, 5720, 4011, 1993, 4664, 1402, 5121, 5758, 1953, 1543, 6050, 859, 5680, 5301, 3892, 5796, 4260, 1318, 5395, 4305, 388],
[1488, 3318, 3787, 4502, 1962, 4829, 2770, 1594, 1212, 0, 787, 4757, 3896, 3175, 5007, 649, 4720, 1906, 885, 3540, 5327, 4567, 3816, 1732, 1730, 3634, 4126, 5118, 900, 1306, 2934, 2683, 1433, 4526, 2097, 4790, 5089, 521, 577, 4442, 3888, 3146, 3823, 643, 3074, 1786, 1930, 2123, 1848, 451, 2495, 4687, 3562, 4197, 3314, 2805, 4733, 4909, 4383, 4500, 2575, 3915, 4124, 4251, 387, 2065, 4765, 2232, 4946, 2291, 1925, 3435, 4421, 1756, 4522, 2848, 955, 3503, 793, 3944, 4546, 1444, 768, 4947, 2051, 4531, 4092, 2684, 4612, 3049, 979, 4189, 3135, 935],
